Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls_1,stats_Ast_1,stats_G+A_1,stats_G-PK_1,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp_1,passing_Att_1,passing_Cmp%_1,passing_Cmp_2,passing_Att_2,passing_Cmp%_2,passing_Cmp_3,passing_Att_3,passing_Cmp%_3,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive_1,gca_PassDead_1,gca_TO_1,gca_Sh_1,gca_Fld_1,gca_Def_1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl_1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Santiago Ormeño,pe PER,FW,Puebla,Liga MX,31-006,1994,9,5,482,5.4,2,1,3,1,1,1,0,0,0.37,0.19,0.56,0.19,0.37,pe PER,FW,Puebla,Liga MX,31-006,1994,5.4,2,11,5,45.5,2.05,0.93,0.09,0.2,0.0,1,1,pe PER,FW,Puebla,Liga MX,31-006,1994,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,pe PER,FW,Puebla,Liga MX,31-006,1994,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,FW,Puebla,Liga MX,31-006,1994,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,FW,Puebla,Liga MX,31-006,1994,5.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,pe PER,FW,Puebla,Liga MX,31-006,1994,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,FW,Puebla,Liga MX,31-006,1994,9,482,54,23.3,5.4,5,84,1,4,16,8,0.78,6,6,0,0.0,0.79,pe PER,FW,Puebla,Liga MX,31-006,1994,5.4,0,0,0,7,8,3,1,2,0,0.0,0.0,0
Efraín Orona,mx MEX,DF,Puebla,Liga MX,25-354,1999,23,20,"1,851",20.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Puebla,Liga MX,25-354,1999,20.6,0,13,3,23.1,0.63,0.15,0.0,0.0,0.0,0,0,mx MEX,DF,Puebla,Liga MX,25-354,1999,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Puebla,Liga MX,25-354,1999,20.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Puebla,Liga MX,25-354,1999,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Puebla,Liga MX,25-354,1999,20.6,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,mx MEX,DF,Puebla,Liga MX,25-354,1999,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Puebla,Liga MX,25-354,1999,23,"1,851",80,89.4,20.6,20,90,20,3,17,0,0.83,22,34,-12,-0.58,0.24,mx MEX,DF,Puebla,Liga MX,25-354,1999,20.6,3,0,0,17,6,0,2,40,23,0.0,0.0,0
Jesús Orozco,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,4,4,339,3.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,4,339,85,16.4,3.8,4,85,3,0,0,2,2.25,8,5,3,0.8,-0.45,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,3,0,0,3,2,0,2,3,2,0.0,0.0,0
Jesús Orozco,mx MEX,DF,Guadalajara,Liga MX,22-357,2002,15,15,"1,269",14.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,4,339,85,16.4,3.8,4,85,3,0,0,2,2.25,8,5,3,0.8,-0.45,mx MEX,DF,Cruz Azul,Liga MX,22-357,2002,3.8,3,0,0,3,2,0,2,3,2,0.0,0.0,0
Ralph Orquin,us USA,DF,FC Juárez,Liga MX,21-301,2003,23,23,"1,886",21.0,0,5,5,0,0,0,2,0,0.0,0.24,0.24,0.0,0.24,us USA,DF,FC Juárez,Liga MX,21-301,2003,21.0,0,9,3,33.3,0.43,0.14,0.0,0.0,0.0,0,0,us USA,DF,FC Juárez,Liga MX,21-301,2003,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,us USA,DF,FC Juárez,Liga MX,21-301,2003,21.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,us USA,DF,FC Juárez,Liga MX,21-301,2003,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,us USA,DF,FC Juárez,Liga MX,21-301,2003,21.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,us USA,DF,FC Juárez,Liga MX,21-301,2003,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,us USA,DF,FC Juárez,Liga MX,21-301,2003,23,"1,886",82,91.1,21.0,23,82,12,0,0,0,1.17,22,39,-17,-0.81,-2.28,us USA,DF,FC Juárez,Liga MX,21-301,2003,21.0,2,0,0,9,9,2,44,31,16,0.0,0.0,0
Haret Ortega,mx MEX,DF,FC Juárez,Liga MX,24-267,2000,10,6,631,7.0,1,0,1,1,0,0,4,0,0.14,0.0,0.14,0.14,0.14,mx MEX,DF,FC Juárez,Liga MX,24-267,2000,7.0,1,2,1,50.0,0.29,0.14,0.5,1.0,0.0,0,0,mx MEX,DF,FC Juárez,Liga MX,24-267,2000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,FC Juárez,Liga MX,24-267,2000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,FC Juárez,Liga MX,24-267,2000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,FC Juárez,Liga MX,24-267,2000,7.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,mx MEX,DF,FC Juárez,Liga MX,24-267,2000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,FC Juárez,Liga MX,24-267,2000,10,631,63,30.5,7.0,6,90,6,4,23,11,1.1,10,11,-1,-0.14,0.67,mx MEX,DF,FC Juárez,Liga MX,24-267,2000,7.0,4,0,0,11,1,1,0,13,13,0.0,0.0,0
Pablo Ortiz,mx MEX,"DF,MF",Querétaro,Liga MX,22-311,2002,13,6,640,7.1,0,1,1,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,mx MEX,"DF,MF",Querétaro,Liga MX,22-311,2002,7.1,0,4,1,25.0,0.56,0.14,0.0,0.0,0.0,0,0,mx MEX,"DF,MF",Querétaro,Liga MX,22-311,2002,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Querétaro,Liga MX,22-311,2002,7.1,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Querétaro,Liga MX,22-311,2002,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Querétaro,Liga MX,22-311,2002,7.1,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,mx MEX,"DF,MF",Querétaro,Liga MX,22-311,2002,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Querétaro,Liga MX,22-311,2002,13,640,49,30.9,7.1,6,71,3,7,31,7,0.85,3,14,-11,-1.55,-1.11,mx MEX,"DF,MF",Querétaro,Liga MX,22-311,2002,7.1,2,0,0,16,6,1,11,8,8,0.0,0.0,0
José Pablo Saldívar,mx MEX,MF,Pachuca,Liga MX,21-317,2003,5,4,291,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Pachuca,Liga MX,21-317,2003,3.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mx MEX,MF,Pachuca,Liga MX,21-317,2003,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Pachuca,Liga MX,21-317,2003,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Pachuca,Liga MX,21-317,2003,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Pachuca,Liga MX,21-317,2003,3.2,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,mx MEX,MF,Pachuca,Liga MX,21-317,2003,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Pachuca,Liga MX,21-317,2003,5,291,58,14.1,3.2,4,72,1,1,5,9,2.0,6,4,2,0.62,1.18,mx MEX,MF,Pachuca,Liga MX,21-317,2003,3.2,0,0,0,9,1,0,0,4,6,0.0,0.0,0
Juan Pablo Vigón,mx MEX,MF,UANL,Liga MX,33-205,1991,13,1,276,3.1,1,0,1,0,1,1,0,0,0.33,0.0,0.33,0.0,0.0,mx MEX,MF,UANL,Liga MX,33-205,1991,3.1,1,10,3,30.0,3.26,0.98,0.0,0.0,0.0,1,1,mx MEX,MF,UANL,Liga MX,33-205,1991,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,UANL,Liga MX,33-205,1991,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,UANL,Liga MX,33-205,1991,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,UANL,Liga MX,33-205,1991,3.1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,mx MEX,MF,UANL,Liga MX,33-205,1991,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,UANL,Liga MX,33-205,1991,13,276,21,13.3,3.1,1,61,0,12,18,10,1.86,7,2,5,1.63,1.38,mx MEX,MF,UANL,Liga MX,33-205,1991,3.1,0,0,0,4,7,1,2,1,2,0.0,0.0,0
Jose Pachuca,mx MEX,"DF,MF",Puebla,Liga MX,19-201,2005,16,9,854,9.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Puebla,Liga MX,19-201,2005,9.5,0,3,0,0.0,0.32,0.0,0.0,0.0,0.0,0,0,mx MEX,"DF,MF",Puebla,Liga MX,19-201,2005,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Puebla,Liga MX,19-201,2005,9.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Puebla,Liga MX,19-201,2005,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Puebla,Liga MX,19-201,2005,9.5,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,mx MEX,"DF,MF",Puebla,Liga MX,19-201,2005,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Puebla,Liga MX,19-201,2005,16,854,53,41.3,9.5,9,80,5,7,19,3,0.94,8,15,-7,-0.74,-0.22,mx MEX,"DF,MF",Puebla,Liga MX,19-201,2005,9.5,1,0,0,8,5,0,2,13,12,0.0,0.0,0
Jonathan Padilla,mx MEX,MF,Guadalajara,Liga MX,19-053,2005,15,6,629,7.0,4,2,6,4,0,0,1,0,0.57,0.29,0.86,0.57,0.86,mx MEX,MF,Guadalajara,Liga MX,19-053,2005,7.0,4,19,8,42.1,2.72,1.14,0.21,0.5,0.0,0,0,mx MEX,MF,Guadalajara,Liga MX,19-053,2005,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Guadalajara,Liga MX,19-053,2005,7.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Guadalajara,Liga MX,19-053,2005,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Guadalajara,Liga MX,19-053,2005,7.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,mx MEX,MF,Guadalajara,Liga MX,19-053,2005,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Guadalajara,Liga MX,19-053,2005,15,629,42,30.4,7.0,6,70,0,9,23,4,1.31,11,6,5,0.72,0.47,mx MEX,MF,Guadalajara,Liga MX,19-053,2005,7.0,1,0,0,14,5,2,24,1,14,0.0,0.0,0
Agustín Palavecino,ar ARG,MF,Necaxa,Liga MX,28-093,1996,23,23,"2,005",22.3,4,5,9,4,0,0,4,0,0.18,0.22,0.4,0.18,0.4,ar ARG,MF,Necaxa,Liga MX,28-093,1996,22.3,4,79,24,30.4,3.55,1.08,0.05,0.17,0.0,0,0,ar ARG,MF,Necaxa,Liga MX,28-093,1996,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Necaxa,Liga MX,28-093,1996,22.3,0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Necaxa,Liga MX,28-093,1996,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Necaxa,Liga MX,28-093,1996,22.3,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,ar ARG,MF,Necaxa,Liga MX,28-093,1996,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Necaxa,Liga MX,28-093,1996,23,"2,005",87,96.9,22.3,23,87,19,0,0,0,1.04,30,35,-5,-0.22,1.16,ar ARG,MF,Necaxa,Liga MX,28-093,1996,22.3,4,0,0,39,35,0,85,38,45,0.0,0.0,0
José Paradela,ar ARG,MF,Necaxa,Liga MX,26-057,1998,23,23,"1,911",21.2,5,7,12,1,4,4,3,0,0.24,0.33,0.57,0.05,0.38,ar ARG,MF,Necaxa,Liga MX,26-057,1998,21.2,5,47,19,40.4,2.21,0.89,0.02,0.05,0.0,4,4,ar ARG,MF,Necaxa,Liga MX,26-057,1998,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Necaxa,Liga MX,26-057,1998,21.2,0.0,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Necaxa,Liga MX,26-057,1998,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Necaxa,Liga MX,26-057,1998,21.2,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,ar ARG,MF,Necaxa,Liga MX,26-057,1998,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Necaxa,Liga MX,26-057,1998,23,"1,911",83,92.3,21.2,23,83,13,0,0,0,1.04,27,32,-5,-0.24,0.33,ar ARG,MF,Necaxa,Liga MX,26-057,1998,21.2,3,0,0,25,38,1,98,9,33,0.0,0.0,0
Paulinho,pt POR,FW,Toluca,Liga MX,32-093,1992,21,19,"1,685",18.7,15,6,21,15,0,1,3,0,0.8,0.32,1.12,0.8,1.12,pt POR,FW,Toluca,Liga MX,32-093,1992,18.7,15,60,32,53.3,3.2,1.71,0.25,0.47,0.0,0,1,pt POR,FW,Toluca,Liga MX,32-093,1992,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,pt POR,FW,Toluca,Liga MX,32-093,1992,18.7,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pt POR,FW,Toluca,Liga MX,32-093,1992,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pt POR,FW,Toluca,Liga MX,32-093,1992,18.7,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,pt POR,FW,Toluca,Liga MX,32-093,1992,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pt POR,FW,Toluca,Liga MX,32-093,1992,21,"1,685",80,81.4,18.7,19,85,13,2,31,0,1.83,47,21,26,1.39,2.32,pt POR,FW,Toluca,Liga MX,32-093,1992,18.7,3,0,0,30,21,17,4,2,7,0.0,0.0,0
Pedro Pedraza,mx MEX,MF,Pachuca,Liga MX,24-286,2000,20,13,"1,139",12.7,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Pachuca,Liga MX,24-286,2000,12.7,0,6,1,16.7,0.47,0.08,0.0,0.0,0.0,0,0,mx MEX,MF,Pachuca,Liga MX,24-286,2000,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Pachuca,Liga MX,24-286,2000,12.7,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Pachuca,Liga MX,24-286,2000,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Pachuca,Liga MX,24-286,2000,12.7,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,mx MEX,MF,Pachuca,Liga MX,24-286,2000,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Pachuca,Liga MX,24-286,2000,20,"1,139",57,55.0,12.7,13,80,6,7,14,2,0.9,13,20,-7,-0.55,-0.36,mx MEX,MF,Pachuca,Liga MX,24-286,2000,12.7,6,0,0,20,7,0,3,22,28,0.0,0.0,0
